date,category,description,credit,debit,observation,document,year,month,id,created_date,updated_date,created_by_id,is_sample
"2021-04-28","Honorários Contábeis","Diligências de IR - Direcionar Contabilidade","0","1500","Consultar situação fiscal | regularizar pendências | apurar impostos | acompanhar processos na Receita
","","2021","4","69418731207ac18bffffb64e","2025-12-16T16:22:09.418000","2025-12-18T00:02:54.880000","694176db67702920b1472831","false"
"2021-08-12","Fiscal","Parcelamento REFIS","0","127.65","DEB AUT. RECEITA FEDERAL DO BRASIL RFB- DARA PARC","9044120009638 8182181","2021","8","694186de10125409d33dee88","2025-12-16T16:20:46.918000","2025-12-16T16:20:46.918000","694176db67702920b1472831","false"
"2021-08-12","Fiscal","Parcelamento REFIS","0","904.78","DEB AUT. RECEITA FEDERAL DO BRASIL RFB- DARA PARC","9020120009438 8572120","2021","8","694186a2a7018606ee77e361","2025-12-16T16:19:46.938000","2025-12-16T16:20:20.854000","694176db67702920b1472831","false"
"2021-08-06","Taxas ","Receita Federal","0","135.22","Taxa governamental","","2021","8","69418649172b444a0e376f5a","2025-12-16T16:18:17.560000","2025-12-16T16:18:17.560000","694176db67702920b1472831","false"
"2021-07-28","Adiantamento Legítima","Tatiana Dias Soares - Herdeira","0","3500","Auxílio emergencial","PIX ENVIADO - DIF TIT Nºdoc  084696","2021","7","694185f1c28a4fc5a0b00f52","2025-12-16T16:16:49.767000","2025-12-16T21:28:39.097000","694176db67702920b1472831","false"
"2021-07-01","Cartório","Despesas cartorárias e registrárias necessárias ao inventário","0","73.4","Colégio Notarial.","","2021","7","694185b2dac1b382a9f475d4","2025-12-16T16:15:46.248000","2025-12-18T00:07:56.840000","694176db67702920b1472831","false"
"2021-05-19","Honorários Contábeis","Diligências fiscais - Batuta Contabilidade ","0","200","Consultar situação fiscal | regularizar pendências | apurar impostos","S/N","2021","5","694185399bbfecf7c14a2b00","2025-12-16T16:13:45.647000","2025-12-18T00:06:20.585000","694176db67702920b1472831","false"
"2021-05-31","Fiscal","IRPF (apuração 2020)","0","4277.21","Regularização das Declarações de Ajuste Anual do Espólio (ano-base 2020)","4837935644","2021","5","694185130c745f809cdbfde9","2025-12-16T16:13:07.203000","2025-12-16T16:34:06.428000","694176db67702920b1472831","false"
"2021-05-19","Fiscal","IRPF (apuração 2019)","0","2785.74","Regularização das Declarações de Ajuste Anual do Espólio (ano-base 2019)","4762293084","2021","5","694184d523d56fc0896ba168","2025-12-16T16:12:05.904000","2025-12-16T16:34:26.920000","694176db67702920b1472831","false"
"2021-05-19","Fiscal","IRPF (apuração 2018)","0","2407.37","Regularização das Declarações de Ajuste Anual do Espólio (ano-base 2018)","4762293184","2021","5","694184b159d343083f8fa86f","2025-12-16T16:11:29.989000","2025-12-16T16:34:42.452000","694176db67702920b1472831","false"
"2021-05-04","Fiscal","ITR - IMPOSTO PROPRIEDADE TERRITORIAL RURAL","0","658.71","Regularização Fiscal","10100817821011600","2021","5","6941843b1cff816f0b324aa2","2025-12-16T16:09:31.086000","2025-12-16T16:09:31.086000","694176db67702920b1472831","false"
"2021-05-04","Fiscal","ITR - IMPOSTO PROPRIEDADE TERRITORIAL RURAL","0","995.39","Regularização Fiscal","10100817821011603","2021","5","69418423e848fce93594001e","2025-12-16T16:09:07.266000","2025-12-16T16:09:07.266000","694176db67702920b1472831","false"
"2021-12-11","Bancário","Acordo Santander","0","253.32","ACORDO FEITO POR JOAQUIM MACHADO EM VIDA","PARCELA 0016 AC.205768837","2021","12","694183e241b8a4ca30796ce6","2025-12-16T16:08:02.821000","2025-12-16T21:38:46.556000","694176db67702920b1472831","false"
"2021-11-11","Bancário","Acordo Santander","0","253.32","ACORDO FEITO POR JOAQUIM MACHADO EM VIDA","PARCELA 0015 AC.205768837","2021","11","694183dd5ba260fca0c50128","2025-12-16T16:07:57.985000","2025-12-16T21:38:23.188000","694176db67702920b1472831","false"
"2021-10-11","Bancário","Acordo Santander","0","253.32","ACORDO FEITO POR JOAQUIM MACHADO EM VIDA","PARCELA 0014 AC.205768837","2021","10","694183d9a53f64f18689f9cb","2025-12-16T16:07:53.069000","2025-12-16T21:37:27.609000","694176db67702920b1472831","false"
"2021-09-11","Bancário","Acordo Santander","0","253.32","ACORDO FEITO POR JOAQUIM MACHADO EM VIDA","PARCELA 0013 AC.205768837","2021","9","694183d3cf480d974825c7a8","2025-12-16T16:07:47.676000","2025-12-16T21:34:17.784000","694176db67702920b1472831","false"
"2021-08-11","Bancário","Acordo Santander","0","253.32","ACORDO FEITO POR JOAQUIM MACHADO EM VIDA","PARCELA 0012 AC.205768837","2021","8","694183cfa1ad01c3519a7397","2025-12-16T16:07:43.091000","2025-12-16T21:34:29.631000","694176db67702920b1472831","false"
"2021-07-11","Bancário","Acordo Santander","0","253.32","ACORDO FEITO POR JOAQUIM MACHADO EM VIDA","PARCELA 0011 AC.205768837","2021","7","694183c9eb4b178db15cd6b0","2025-12-16T16:07:37.936000","2026-02-07T16:39:09.575000","694176db67702920b1472831","false"
"2021-06-11","Bancário","Acordo Santander","0","253.32","ACORDO FEITO POR JOAQUIM MACHADO EM VIDA","PARCELA 0010 AC.205768837","2021","6","694183c46f3101f794c9002d","2025-12-16T16:07:32.525000","2025-12-16T21:34:48.515000","694176db67702920b1472831","false"
"2021-05-11","Bancário","Acordo Santander","0","253.32","ACORDO FEITO POR JOAQUIM MACHADO EM VIDA","PARCELA 009 AC.205768837","2021","5","694183bbe9b82f5efcab3b3d","2025-12-16T16:07:23.602000","2025-12-16T21:35:02.834000","694176db67702920b1472831","false"
"2021-04-05","Cartório","Despesas cartorárias e registrárias necessárias ao inventário","0","663.31","Emissão de certidões necessárias para a instrução processual.","","2021","4","6941836bccd476093e501e63","2025-12-16T16:06:03.238000","2025-12-18T00:01:21.937000","694176db67702920b1472831","false"
"2021-04-27","Fiscal","Saneamento Dívida Ativa Joaquim Machado","0","10928.87","","07172111709616446","2021","4","694183102d62b58d14524806","2025-12-16T16:04:32.242000","2025-12-16T16:04:32.242000","694176db67702920b1472831","false"
"2021-04-29","Receita","Venda de Safra/Arrendamento","55693.35","0","Marco Antonio Senju","","2021","4","694182ca514c33c0cb77ba22","2025-12-16T16:03:22.143000","2025-12-16T16:03:22.143000","694176db67702920b1472831","false"
"2021-04-27","Receita","Venda de Safra/Arrendamento","29938.82","0","Alianca Agricola Do Cerrado S.A.","","2021","4","6941826ac648efe6f708da67","2025-12-16T16:01:46.577000","2025-12-16T16:02:33.995000","694176db67702920b1472831","false"
"2021-04-11","Bancário","Acordo Santander","0","258.39","ACORDO FEITO POR JOAQUIM MACHADO EM VIDA","PARCELA 008 AC.205768837","2021","4","6941815186b457acf91c22a3","2025-12-16T15:57:05.158000","2025-12-16T21:35:13.405000","694176db67702920b1472831","false"
"2021-03-11","Bancário","Acordo Santander","0","258.39","ACORDO FEITO POR JOAQUIM MACHADO EM VIDA","PARCELA 007 AC.205768837","2021","3","69418136a1ad01c3519a71de","2025-12-16T15:56:38.306000","2025-12-16T21:35:24.874000","694176db67702920b1472831","false"
"2021-02-11","Bancário","Acordo Santander","0","171.4","ACORDO FEITO POR JOAQUIM MACHADO EM VIDA","PARCELA 006 AC.205768837","2021","2","6941811e8a849c60aa422b9b","2025-12-16T15:56:14.276000","2026-02-07T16:29:11.820000","694176db67702920b1472831","false"
"2021-02-17","Bancário","Tarifa Mensalidade Pacote (Jan/2021)","0","78.6","","","2021","2","6941810b3ee1a0ed03b66deb","2025-12-16T15:55:55.064000","2026-02-07T16:28:42.487000","694176db67702920b1472831","false"
"2021-01-11","Bancário","Acordo Santander","0","253.32","ACORDO FEITO POR JOAQUIM MACHADO EM VIDA","PARCELA 005 AC.205768837","2021","1","694180005f6ca43793022536","2025-12-16T15:51:28.012000","2025-12-16T21:35:41.726000","694176db67702920b1472831","false"
"2021-01-01","Saldo Consolidado","Saldo Final 2020","0","14553.14","","","2021","1","69417cd7cb79bd8e87a6ff01","2025-12-16T15:37:59.600000","2026-04-19T16:32:14.549000","694176db67702920b1472831","false"
